"player_id","team_id","general_position","minutes_played","shots","shots_on_target","goals","xgoals","xplace","goals_minus_xgoals","key_passes","primary_assists","xassists","primary_assists_minus_xassists","goals_plus_primary_assists","xgoals_plus_xassists","points_added","xpoints_added","player_name","birth_date","weight_lb","nationality","season_name","primary_broad_position","primary_general_position","secondary_general_position","secondary_broad_position","height_cm"
"9vQ2B4LQK6","X0Oq66zq6D","CB",1616,4,2,1,0.7053,0.4619,0.2947,4,0,0.2899,-0.2899,1,0.9952,0.519,0.5061,"Adailton","1983-04-16",181,"Brazil","2015","DF","CB","FB","DF",190
"9vQ2b9eQK6","NWMWlBK5lz","CB",2168,11,2,0,1.3512,-0.4676,-1.3512,4,0,0.1761,-0.1761,0,1.5273,0,1.4808,"Maikel van der Werff","1989-04-22",181,"Netherlands","2019, 2020","DF","CB","FB","DF",185
"9vQ2d3X75K","pzeQZ6xQKw, X0Oq66zq6D, eVq3ya6MWO, mKAqBBmqbg","CM",24928,320,88,22,20.5012,-0.8538,1.4988,246,19,20.1916,-1.1916,41,40.6928,10.699,13.4878,"Kellyn Acosta","1995-07-24",150,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025","MF","CM","DM","MF",177
"9vQ2d66e5K","KAqBN0Vqbg","CB",2906,16,7,3,1.8029,1.8551,1.1971,3,0,0.5221,-0.5221,3,2.3249,1.4067,1.2001,"Stian Gregersen","1995-05-17",183,"Norway","2024, 2025","DF","CB","FB","DF",190
"9vQ2d6yr5K","jYQJ19EqGR","DM",4399,16,1,1,1.4499,-0.5447,-0.4499,13,0,0.4867,-0.4867,1,1.9366,0,0.5426,"Jordy Delem","1993-03-18",154,"Martinique","2017, 2018, 2019, 2020, 2021","MF","DM","CM","MF",180
"9vQ2da7x5K","mKAqBBmqbg","DM",561,1,0,0,0.0214,-0.0214,-0.0214,0,0,0,0,0,0.0214,0,0.0161,"Ezequiel Cirigliano","1992-01-24",154,"Argentina","2015","MF","DM","CM","MF",172
"9vQ2dAKY5K","vzqoOgNqap, a2lqRX2Mr0","DM",21560,116,33,5,5.8873,-0.5611,-0.8873,190,11,13.7162,-2.7162,16,19.6035,1.141,3.5932,"Sean Davis","1993-02-08",165,"USA","2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","MF","DM","CM","MF",182
"9vQ2de8a5K","YgOMngl5wN, 4wM42l4qjB, KAqBN0Vqbg","ST",8603,278,98,37,39.8321,-1.0704,-2.8321,85,6,6.0159,-0.0159,43,45.8479,18.846,23.8739,"Erick Torres","1993-01-19",170,"Mexico","2013, 2014, 2015, 2016, 2017, 2020, 2021","FW","ST","W","FW",180
"9vQ2dey75K","Z2vQ1xlqrA","W",3018,103,31,7,6.3481,-0.6563,0.6519,51,6,5.5455,0.4545,13,11.8937,2.8387,4.1521,"Soony Saad","1992-08-17",165,"USA","2013, 2014, 2017","FW","W","ST","FW",177
"9vQ2dgox5K","pzeQZ6xQKw, 4wM42l4qjB","W",3740,66,17,2,5.0774,-1.558,-3.0774,45,4,3.2497,0.7503,6,8.3271,2.3456,3.8884,"Carlos Alvarez","1990-11-12",161,"USA","2013, 2014, 2015","MF","W","ST","FW",177
"9vQ2djYr5K","9z5k7Yg5A3","DM",1190,29,12,3,3.3764,0.8319,-0.3764,5,1,0.3605,0.6395,4,3.7369,2.3111,2.6051,"Zach Pfeffer","1995-01-06",146,"USA","2014, 2015","MF","DM","W","FW",172
"9vQ2dlLa5K","YgOMngl5wN","DM",51,0,0,0,0,0,0,1,0,0.0139,-0.0139,0,0.0139,0,0,"Charlie Ward","1995-02-14",161,"England","2017","MF","DM","CM","MF",172
"9vQ2dn3m5K","YgOMngl5wN","CM",3131,23,4,0,0.6437,-0.2334,-0.6437,9,0,0.5526,-0.5526,0,1.1963,0,0.3935,"Luis Garrido","1990-11-05",154,"Honduras","2014, 2015","MF","CM","DM","MF",170
"9vQ2dpZa5K","YgOMngl5wN, pzeQZ6xQKw","CM",970,22,6,1,1.5588,-1.1396,-0.5588,15,0,0.6529,-0.6529,1,2.2117,0.0501,0.958,"Tony Cascio","1990-03-28",172,"USA","2013, 2014","MF","CM","DM","MF",182
"9vQ2dRnL5K","kRQand1MKZ","ST",2069,68,25,7,9.369,-1.666,-2.369,18,1,1.4609,-0.4609,8,10.8299,3.4439,6.9766,"Adrien Hunou","1994-01-19",146,"France","2021, 2022","FW","ST","W","FW",175
"9vQ2dyB95K","lgpMOvnQzy, jYQJ19EqGR","GK",389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bryan Meredith","1989-08-02",196,"USA","2018, 2020","GK","GK","GK","GK",187
"9vQ2dZe15K","vzqoOgNqap, Z2vQ1xlqrA, jYQJ19EqGR, YgOMngl5wN, X0Oq66zq6D, 19vQ2095K6, mvzqoLZQap","CB",16236,74,25,4,3.7473,1.8623,0.2527,67,4,5.1288,-1.1288,8,8.8761,2.8165,3.0235,"Jalil Anibaba","1988-10-19",185,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022","DF","CB","FB","DF",182
"9vQ2dZE15K","YgOMngl5wN, jYQJ19EqGR, gpMOLwl5zy","ST",17996,454,182,69,67.0795,1.1263,1.9205,194,24,19.8051,4.1949,93,86.8846,29.4814,40.7222,"Will Bruin","1989-10-24",196,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023","FW","ST","W","FW",187
"9vQ2dzzm5K","KAqBN0Vqbg","W",6129,203,87,22,20.3203,0.4594,1.6797,86,17,14.5927,2.4073,39,34.913,8.671,10.3567,"Héctor Villalba","1994-07-26",148,"Argentina","2017, 2018, 2019","MF","W","ST","FW",172
"9vQ2kxaMK6","kRQand1MKZ, kRQabn8MKZ, APk5LGOMOW, pzeQZ6xQKw, YgOMngl5wN","DM",12285,87,15,6,5.3043,-0.749,0.6957,86,2,6.1279,-4.1279,8,11.4322,3.7641,3.509,"Collen Warner","1988-06-24",179,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2020, 2021, 2022","MF","DM","CM","MF",177
"9vQ2NkrQK6","kRQabn8MKZ, 4wM42l4qjB","ST",3024,70,29,7,11.2601,0.3739,-4.2601,37,6,4.4374,1.5626,13,15.6975,2.7748,6.1956,"Luke Moore","1986-02-13",168,"England","2014, 2015","FW","ST","W","FW",175
"9vQ2NWOYQK","jYQJ8EW5GR","W",38,1,0,0,0.1064,-0.1064,-0.1064,0,0,0,0,0,0.1064,0,0.2115,"Yutaro Tsukada","2001-07-28",154,"Japan","2024","MF","W","ST","FW",173
"9vQ2oymMK6","WBLMvYAQxe, lgpMOvnQzy","CB",6874,23,8,4,3.089,0.3769,0.911,15,1,1.6766,-0.6766,5,4.7657,2.3479,2.3963,"Pa Modou Kah","1980-07-30",176,"Norway","2013, 2014, 2015, 2016","DF","CB","FB","DF",185
"9vQ2P9L5K6","WBLMvYAQxe, 0KPqjA456v","CB",295,1,0,0,0.0789,-0.0789,-0.0789,0,0,0,0,0,0.0789,0,0.0058,"Brad Ring","1987-04-07",165,"USA","2013","DF","CB","FB","DF",177
"9vQ2RBLQK6","0KPqjA456v","FB",504,4,1,0,0.1208,-0.0937,-0.1208,2,0,0.0319,-0.0319,0,0.1527,0,0.0396,"Pablo Pintos","1987-07-01",161,"Uruguay","2014","DF","FB","WB","DF",182
"9vQ2rx9QK6","a2lqR4JMr0","W",3454,56,23,8,7.4575,-0.4638,0.5425,37,2,4.6095,-2.6095,10,12.067,5.2815,5.1064,"Juan Manuel Martínez","1985-10-25",161,"Argentina","2015, 2016","FW","W","ST","FW",175
